1770791366.060228,MOUSE,-1,-3,MOVE
1770791366.076894,MOUSE,-2,-4,MOVE
1770791366.093561,MOUSE,-3,-5,MOVE
1770791366.110228,MOUSE,-3,-4,MOVE
1770791366.126894,MOUSE,-4,-5,MOVE
1770791366.143561,MOUSE,-5,-5,MOVE
1770791366.160228,MOUSE,-5,-5,MOVE
1770791366.176894,MOUSE,-6,-5,MOVE
1770791366.193561,MOUSE,-7,-6,MOVE
1770791366.210227,MOUSE,-7,-6,MOVE
1770791366.226894,MOUSE,-7,-6,MOVE
1770791366.243561,MOUSE,-8,-6,MOVE
1770791366.260227,MOUSE,-8,-7,MOVE
1770791366.276894,MOUSE,-8,-6,MOVE
1770791366.293561,MOUSE,-9,-7,MOVE
1770791366.310227,MOUSE,-9,-7,MOVE
1770791366.326894,MOUSE,-9,-8,MOVE
1770791366.343561,MOUSE,-10,-7,MOVE
1770791366.360227,MOUSE,-9,-8,MOVE
1770791366.376894,MOUSE,-10,-8,MOVE
1770791366.393561,MOUSE,-10,-7,MOVE
1770791366.410227,MOUSE,-10,-9,MOVE
1770791366.426894,MOUSE,-9,-8,MOVE
1770791366.443561,MOUSE,-10,-8,MOVE
1770791366.460227,MOUSE,-10,-9,MOVE
1770791366.476894,MOUSE,-9,-8,MOVE
1770791366.493561,MOUSE,-9,-9,MOVE
1770791366.510227,MOUSE,-9,-9,MOVE
1770791366.526894,MOUSE,-9,-9,MOVE
1770791366.543561,MOUSE,-9,-9,MOVE
1770791366.560227,MOUSE,-8,-9,MOVE
1770791366.576894,MOUSE,-8,-9,MOVE
1770791366.593560,MOUSE,-8,-9,MOVE
1770791366.610227,MOUSE,-7,-10,MOVE
1770791366.626894,MOUSE,-6,-9,MOVE
1770791366.643560,MOUSE,-6,-10,MOVE
1770791366.660227,MOUSE,-6,-9,MOVE
1770791366.676894,MOUSE,-5,-10,MOVE
1770791366.693560,MOUSE,-4,-9,MOVE
1770791366.710227,MOUSE,-3,-10,MOVE
1770791366.726894,MOUSE,-3,-10,MOVE
1770791366.743560,MOUSE,-2,-9,MOVE
1770791366.760227,MOUSE,0,0,LEFT_DOWN
1770791366.789439,MOUSE,0,0,LEFT_UP
1770791366.916359,MOUSE,1,-6,MOVE
1770791366.933026,MOUSE,6,-4,MOVE
1770791366.949692,MOUSE,8,-5,MOVE
1770791366.966359,MOUSE,11,-3,MOVE
1770791366.983026,MOUSE,15,-4,MOVE
1770791366.999692,MOUSE,17,-3,MOVE
1770791367.016359,MOUSE,19,-2,MOVE
1770791367.033026,MOUSE,22,-3,MOVE
1770791367.049692,MOUSE,25,-2,MOVE
1770791367.066359,MOUSE,26,-1,MOVE
1770791367.083025,MOUSE,28,-1,MOVE
1770791367.099692,MOUSE,30,-1,MOVE
1770791367.116359,MOUSE,32,0,MOVE
1770791367.133025,MOUSE,33,-1,MOVE
1770791367.149692,MOUSE,34,1,MOVE
1770791367.166359,MOUSE,35,0,MOVE
1770791367.183025,MOUSE,36,1,MOVE
1770791367.199692,MOUSE,38,1,MOVE
1770791367.216359,MOUSE,37,1,MOVE
1770791367.233025,MOUSE,38,2,MOVE
1770791367.249692,MOUSE,39,2,MOVE
1770791367.266359,MOUSE,39,2,MOVE
1770791367.283025,MOUSE,38,2,MOVE
1770791367.299692,MOUSE,39,3,MOVE
1770791367.316359,MOUSE,38,3,MOVE
1770791367.333025,MOUSE,37,3,MOVE
1770791367.349692,MOUSE,37,3,MOVE
1770791367.366359,MOUSE,36,4,MOVE
1770791367.383025,MOUSE,35,3,MOVE
1770791367.399692,MOUSE,34,4,MOVE
1770791367.416358,MOUSE,33,4,MOVE
1770791367.433025,MOUSE,31,5,MOVE
1770791367.449692,MOUSE,30,4,MOVE
1770791367.466358,MOUSE,28,4,MOVE
1770791367.483025,MOUSE,25,5,MOVE
1770791367.499692,MOUSE,24,5,MOVE
